timestamp,window_id,seq_ratio,avg_irr,unique_ratio,irr_0_1k,irr_1k_10k,irr_10k_plus
1774424614.435670685,0,9936,0,10000,0,0,0
1774424614.449658053,1,10000,0,10000,0,0,0
1774424614.463623103,2,10000,0,10000,0,0,0
1774424614.498405652,3,10000,0,10000,0,0,0
1774424614.516027346,4,10000,0,10064,0,0,0
1774424614.541504045,0,7571,285,9294,10000,0,0
1774424614.563784585,1,10000,0,10000,0,0,0
1774424614.588787763,2,10000,0,10000,0,0,0
1774424614.646630064,0,9754,0,10000,0,0,0
1774424614.690564135,3,9993,0,10000,0,0,0
1774424614.715601437,4,10000,0,10064,0,0,0
1774424614.741165730,5,10000,0,10000,0,0,0
1774424614.764747288,6,10000,0,10000,0,0,0
1774424614.787788599,7,10000,0,10000,0,0,0
1774424614.816174287,1,9999,0,10000,0,0,0
1774424614.833003664,2,10000,0,10000,0,0,0
1774424614.855672998,3,10000,0,10000,0,0,0
1774424614.881370087,4,9996,0,10064,0,0,0
1774424614.909232822,5,9992,0,10000,0,0,0
1774424614.932721598,6,10000,0,10000,0,0,0
1774424614.972080386,8,9999,0,10064,0,0,0
1774424615.006213904,9,10000,0,10000,0,0,0
1774424615.026488883,10,10000,0,10000,0,0,0
1774424615.057107441,11,10000,0,10000,0,0,0
1774424615.068662409,7,9999,0,10000,0,0,0
1774424615.080531942,5,9800,19712,9871,6666,0,3333
1774424615.101334209,8,9998,0,10064,0,0,0
1774424615.132441712,9,10000,0,10000,0,0,0
1774424615.158197475,10,10000,0,10000,0,0,0
1774424615.180191556,11,10000,0,10000,0,0,0
1774424615.207651731,12,10000,0,10064,0,0,0
1774424615.233820832,12,9998,0,10064,0,0,0
1774424615.257752773,13,10000,0,10000,0,0,0
1774424615.301853019,13,9998,0,10000,0,0,0
1774424615.327655940,6,9967,0,10000,0,0,0
1774424615.367081452,14,9999,0,10000,0,0,0
1774424615.380605935,0,9806,2325,9807,0,10000,0
1774424615.403511732,1,10000,0,10000,0,0,0
1774424615.428822005,2,9988,0,10000,0,0,0
1774424615.460864301,7,9995,0,10000,0,0,0
1774424615.476165977,3,9999,0,10000,0,0,0
1774424615.493946781,8,9999,0,10064,0,0,0
1774424615.537427004,4,9999,0,10064,0,0,0
1774424615.555481149,9,9999,0,10000,0,0,0
1774424615.615378604,10,9988,0,10000,0,0,0
1774424615.640808056,11,10000,0,10000,0,0,0
1774424615.671403894,12,9985,0,10064,0,0,0
1774424615.709754804,14,9872,69504,9935,5000,0,5000
1774424615.741716011,15,10000,0,10000,0,0,0
1774424615.765872771,16,10000,0,10064,0,0,0
1774424615.788410591,17,10000,0,10000,0,0,0
1774424615.818940763,18,10000,0,10000,0,0,0
1774424615.843193868,19,10000,0,10000,0,0,0
1774424615.865811336,20,10000,0,10064,0,0,0
1774424615.885004454,21,10000,0,10000,0,0,0
1774424615.928398858,22,10000,0,10000,0,0,0
1774424615.953810912,23,10000,0,10000,0,0,0
1774424615.980556291,24,9989,0,10064,0,0,0
1774424616.027628241,5,9905,24608,9935,5000,0,5000
1774424616.054412167,6,10000,0,10000,0,0,0
1774424616.075102377,7,10000,0,10000,0,0,0
1774424616.109821374,8,10000,0,10064,0,0,0
1774424616.118876975,13,9918,78784,10000,0,0,10000
1774424616.144657184,14,10000,0,10000,0,0,0
1774424616.172128488,15,9999,0,10000,0,0,0
1774424616.191148565,16,10000,0,10064,0,0,0
1774424616.253077161,9,9997,0,10000,0,0,0
1774424616.276748571,17,9998,0,10000,0,0,0
1774424616.284953757,10,9999,0,10000,0,0,0
1774424616.326205286,18,9999,0,10000,0,0,0
1774424616.352203094,11,9999,0,10000,0,0,0
1774424616.373975176,19,9999,0,10000,0,0,0
1774424616.415481323,12,9999,0,10064,0,0,0
1774424616.430115383,20,9999,0,10064,0,0,0
1774424616.449285680,21,10000,0,10000,0,0,0
1774424616.481101031,13,9998,0,10000,0,0,0
1774424616.507155688,14,10000,0,10000,0,0,0
1774424616.559339863,25,9853,56352,9935,5000,0,5000
1774424616.579751372,26,10000,0,10000,0,0,0
1774424616.613665816,27,9996,0,10000,0,0,0
1774424616.642740464,28,10000,0,10064,0,0,0
1774424616.668121872,15,9856,75936,9935,5000,0,5000
1774424616.692241775,16,10000,0,10064,0,0,0
1774424616.711568571,17,10000,0,10000,0,0,0
1774424616.743048787,18,10000,0,10000,0,0,0
1774424616.768710358,19,10000,0,10000,0,0,0
1774424616.792277185,20,10000,0,10064,0,0,0
1774424616.830924712,29,9999,0,10000,0,0,0
1774424616.850794807,30,10000,0,10000,0,0,0
1774424616.883013780,31,10000,0,10000,0,0,0
1774424616.907778175,32,10000,0,10064,0,0,0
1774424616.926954953,21,9999,0,10000,0,0,0
1774424616.942488173,33,9999,0,10000,0,0,0
1774424616.965970651,34,10000,0,10000,0,0,0
1774424616.986918112,35,10000,0,10000,0,0,0
1774424617.015332962,36,10000,0,10064,0,0,0
1774424617.058575342,22,9999,0,10000,0,0,0
