TID,IOPS,SeqRatio,AvgStride,UniqRatio
4226,27417.7,0.77,7.8,0.81
4226,42547.6,0.84,1.7,0.86
4226,46163.5,0.91,39.9,0.97
4226,44558.9,0.90,5.5,0.97
4226,40529.6,0.80,1.7,0.86
4226,47148.9,0.80,141312.8,0.88
4226,43923.5,0.66,53.0,0.75
4226,43142.4,0.66,70658.3,0.75
4226,40115.6,0.95,1.0,0.95
4226,72894.9,0.98,1.0,1.00
4226,29136.8,0.98,2.7,1.00
4226,40396.1,0.98,38.1,1.00
4226,67591.5,0.98,37.0,1.00
4226,69776.6,0.99,2.2,1.00
4226,41861.8,0.98,5.4,0.95
4226,115231.9,0.97,48.5,1.00
4226,95453.4,0.99,1.0,1.00
4226,86540.1,0.98,4.0,1.00
4226,94356.4,0.97,25.6,1.00
4226,164578.4,1.00,1.1,1.00
4226,103312.0,0.98,22.4,1.00
4226,63094.3,0.98,22.2,1.00
4226,46174.3,0.96,42.0,1.00
4226,137489.2,0.98,10.9,1.00
4226,122111.2,1.00,2.3,1.00
4226,161709.7,0.98,14.1,1.00
4226,131030.2,0.97,3.5,0.99
4226,94010.2,0.98,12.4,1.00
4226,127455.8,0.99,12.7,1.00
4226,140208.0,0.98,23.0,1.00
4226,117539.5,1.00,1.0,1.00
4226,114450.8,0.98,15.7,1.00
4226,120970.5,0.99,10.4,1.00
4226,110640.2,1.00,1.4,1.00
4226,115430.4,1.00,1.1,1.00
4226,93424.4,1.00,2.5,1.00
4226,74685.8,0.98,1.6,1.00
4248,30468.7,0.95,2.0,0.98
4248,98721.6,0.98,3.2,1.00
4248,176470.4,0.99,2.5,1.00
4248,182788.0,0.99,2.5,1.00
4248,205987.8,0.99,2.5,1.00
4248,218196.2,0.99,2.5,1.00
4248,150964.8,0.99,2.5,1.00
4248,241297.3,0.99,2.5,1.00
4248,258398.5,0.99,2.5,1.00
4248,281854.5,0.99,2.5,1.00
4248,291162.6,0.99,2.5,1.00
4248,323407.1,0.99,2.5,1.00
4248,312513.7,0.99,2.5,1.00
