tid,seq_ratio,avg_stride
6332,0.844,18.0
6342,0.968,7.8
6342,0.978,7.6
6332,0.696,31.1
6342,0.987,7.2
6332,0.710,24.9
6342,0.982,6.0
6342,0.975,7.8
6332,0.700,27.6
6342,0.975,13638.8
6342,0.983,13636.0
6332,0.699,30.1
6342,0.977,6.9
6342,0.985,6.4
6332,0.699,28.8
6342,0.971,7.9
6342,0.942,9.8
6332,0.697,31.3
6342,0.934,10.1
6332,0.691,28.1
6342,0.941,6.8
6332,0.695,27.0
6342,0.963,6.5
6342,0.977,7.6
6332,0.683,24.6
6342,0.988,6.0
6332,0.690,18.1
6342,0.973,8.9
6332,0.709,15.3
6342,0.970,7.9
6342,0.973,6.2
6332,0.713,15.6
6342,0.979,7.1
6332,0.714,18.5
6342,0.972,7.5
6332,0.709,15.4
6342,0.978,8.0
6342,0.975,6.5
6332,0.713,14.6
6342,0.969,8.0
6332,0.709,14.0
6342,0.963,5.6
6332,0.717,15.2
6342,0.979,6.3
6342,0.979,7.6
6332,0.715,15.1
6342,0.975,8.5
6332,0.724,18.0
6342,0.974,6.6
6332,0.724,12.8
6342,0.976,6.9
6332,0.712,17.6
6342,0.983,7.1
6332,0.727,14.3
6342,0.978,6.2
6342,0.975,7.3
6332,0.729,17.4
6342,0.976,6.5
6332,0.731,14.8
6342,0.972,6.5
6332,0.710,17.0
6332,0.723,13.0
6342,0.965,10.1
6342,0.974,7.4
6332,0.692,14.2
6332,0.711,15.7
6342,0.975,7.4
6342,0.976,8.8
6332,0.720,13.1
6342,0.980,6.2
6342,0.970,5.8
6332,0.726,13.9
6342,0.972,7.7
6342,0.970,7.7
6332,0.718,19.2
6342,0.971,6.1
6342,0.984,5.8
6332,0.716,17.8
6342,0.982,7.5
6342,0.967,6.0
6332,0.708,14.2
6342,0.978,6.5
6342,0.976,7.4
6342,0.979,6.7
6332,0.727,16.2
6342,0.974,6.7
6342,0.970,6.5
6332,0.712,13.9
6342,0.969,6.6
6342,0.970,6.8
6332,0.736,15.3
6342,0.978,7.5
6342,0.966,6.9
6342,0.977,7.0
6332,0.719,16.5
6342,0.981,6.5
6342,0.977,6.5
6332,0.716,14.1
6342,0.978,6.5
6342,0.973,7.0
6332,0.707,14.5
6342,0.977,6.7
6342,0.978,7.1
6342,0.969,6.3
6332,0.714,15.8
6342,0.981,6.5
6342,0.973,6.6
6332,0.714,15.2
6342,0.969,6.1
6342,0.971,7.4
6342,0.973,7.0
6332,0.709,15.7
6342,0.969,6.2
6332,0.708,14.0
6342,0.962,8.8
6332,0.720,17.4
6342,0.966,11.9
6332,0.713,16.3
6342,0.984,6.7
6332,0.717,15.7
6342,0.976,6.4
6342,0.980,6.2
6332,0.714,18.5
6332,0.726,12.8
6342,0.972,6.5
6332,0.715,13.0
6342,0.977,7.5
6332,0.711,13.3
6342,0.968,6.6
6332,0.725,12.2
6342,0.976,6.4
6332,0.712,19.6
6332,0.717,20.5
6342,0.964,6.5
6332,0.714,14.6
6342,0.974,7.8
6332,0.721,19.5
6342,0.973,5.2
6332,0.724,17.3
6342,0.977,8.1
6332,0.726,17.9
6332,0.723,18.9
6342,0.975,6.0
6332,0.718,16.3
6342,0.964,7.9
6332,0.716,14.2
6332,0.714,16.2
6342,0.969,6.2
6332,0.711,13.3
6342,0.977,9.1
6332,0.716,19.6
6342,0.986,6.4
6332,0.722,14.2
6342,0.977,6.4
6332,0.725,15.9
6342,0.975,8.8
6332,0.731,20.9
6342,0.975,6.1
6332,0.716,14.6
6342,0.970,6.7
6332,0.709,17.5
6342,0.979,6.3
6342,0.989,8.0
6332,0.710,14.8
6332,0.720,16.5
6342,0.973,13.8
6332,0.731,14.1
6342,0.984,4.8
6332,0.725,15.6
6342,0.979,6.0
6332,0.707,20.4
6342,0.974,8.8
6332,0.733,15.2
6342,0.978,8.9
6342,0.985,8.0
6332,0.730,19.1
6332,0.705,17.8
6332,0.729,14.2
6342,0.960,7.6
6332,0.710,18.3
6342,0.980,6.5
6332,0.731,14.4
6332,0.713,16.4
6342,0.973,7.0
6332,0.737,16.3
6342,0.966,9.5
6332,0.721,19.3
6342,0.957,8.0
6332,0.723,14.8
6332,0.715,15.9
6342,0.977,6.7
6332,0.728,17.2
6342,0.968,6.9
6332,0.732,21.1
6342,0.977,6.7
6332,0.717,15.0
6332,0.715,15.4
6342,0.960,5.3
6332,0.742,18.1
6342,0.976,7.4
6332,0.716,15.1
6342,0.974,7.3
6332,0.711,19.5
6332,0.711,19.1
6342,0.972,8.3
6332,0.728,18.7
6342,0.979,8.6
6332,0.723,15.0
6342,0.977,6.8
6332,0.732,15.8
6342,0.978,7.6
6332,0.729,17.4
6332,0.731,15.3
6342,0.968,6.8
6332,0.726,15.7
6342,0.976,6.4
6332,0.719,19.2
6342,0.978,6.6
6332,0.745,21.4
6342,0.985,7.9
6332,0.718,15.7
6342,0.982,7.8
6332,0.726,13.9
6342,0.984,6.4
6332,0.735,18.3
6342,0.985,6.3
6332,0.715,18.2
6342,0.978,8.0
6342,0.979,7.2
6332,0.722,17.8
6342,0.982,7.3
6332,0.722,16.8
6342,0.983,7.4
6332,0.733,17.3
6342,0.973,7.8
6332,0.712,13.6
6332,0.723,12.9
6342,0.955,8.0
6332,0.706,19.4
6342,0.980,6.6
6332,0.717,16.5
6342,0.989,6.9
6332,0.722,15.8
6332,0.713,16.1
6342,0.988,5.6
6332,0.714,16.2
6342,0.985,5.0
6332,0.722,12.9
6342,0.983,7.5
6342,0.975,13.9
6332,0.721,14.0
6332,0.718,10.9
6342,0.977,6.0
6332,0.709,18.9
6342,0.987,5.0
6332,0.713,19.1
6342,0.986,5.2
6332,0.750,14.7
6342,0.988,7.6
6342,0.994,7.7
6332,0.728,14.0
6342,0.975,10.1
6342,0.988,7.6
6342,0.980,7.6
6332,0.706,13.3
6332,0.712,14.7
6342,0.972,7.4
6342,0.982,6.9
6332,0.711,16.2
6342,0.972,7.7
6332,0.729,15.1
6342,0.981,9.3
6332,0.711,17.0
6342,0.981,8.0
6332,0.712,19.5
6342,0.985,7.1
6332,0.722,16.8
6342,0.974,9.0
6332,0.725,14.9
6342,0.984,7.7
6332,0.747,18.3
6342,0.983,6.2
6332,0.727,20.9
6342,0.977,8.7
6332,0.726,19.4
6342,0.988,6.3
6332,0.708,19.6
6342,0.981,8.2
6332,0.712,17.0
6342,0.973,6.6
6332,0.712,14.9
6342,0.985,7.6
6332,0.740,22.2
6342,0.980,6.9
6332,0.733,16.8
6342,0.984,7.8
6342,0.985,7.7
6332,0.740,20.4
6342,0.976,9.3
6332,0.739,16.0
6332,0.735,14.9
6342,0.981,7.0
6342,0.984,7.2
6332,0.720,17.5
6332,0.721,18.2
6342,0.980,7.6
6342,0.981,8.6
6332,0.712,14.7
6332,0.697,15.5
6342,0.978,7.0
6332,0.725,19.3
6342,0.985,7.9
6332,0.710,9.5
6342,0.985,6.9
6332,0.722,14.7
6342,0.971,5.6
6332,0.714,17.5
6342,0.972,6.7
6332,0.728,21.0
6342,0.975,6.3
6332,0.716,21.4
6342,0.985,7.7
6342,0.981,8.1
6332,0.719,15.5
6342,0.971,9.6
6332,0.727,14.2
6342,0.983,7.9
6332,0.722,12.4
6342,0.978,8.2
6332,0.723,19.9
6342,0.981,8.7
6332,0.720,15.1
6342,0.981,6.6
6332,0.707,17.0
6342,0.980,8.1
6332,0.713,20.9
6342,0.987,7.5
6332,0.709,17.3
6342,0.980,6.7
6332,0.719,19.0
6342,0.981,9.1
6342,0.983,7.4
6332,0.720,19.2
6342,0.982,7.4
6332,0.724,14.3
6342,0.967,7.2
6332,0.714,21.0
6342,0.978,8.5
6332,0.733,20.2
6332,0.718,19.2
6342,0.976,8.7
6342,0.988,6.9
6332,0.724,15.2
6342,0.981,7.2
6332,0.718,17.9
6342,0.978,7.2
6332,0.728,12.4
6342,0.983,8.2
6332,0.729,17.6
6342,0.982,8.0
6332,0.722,13.6
6342,0.981,7.3
6332,0.707,20.7
6342,0.979,8.3
6332,0.705,24.7
6342,0.974,7.1
6332,0.729,15.4
6342,0.976,7.1
6342,0.982,7.2
6332,0.733,17.6
6342,0.979,7.5
6332,0.709,16.3
6342,0.981,8.9
6332,0.726,13.9
6342,0.984,6.8
6332,0.716,16.7
6342,0.983,6.5
6332,0.740,13.5
6342,0.978,6.7
6332,0.723,19.0
6342,0.985,9.0
6332,0.714,15.8
6342,0.973,7.5
6332,0.738,12.8
6342,0.979,6.7
6332,0.725,16.7
6342,0.982,7.4
6332,0.718,22.8
6342,0.986,7.6
6332,0.719,16.4
6342,0.976,7.1
6342,0.988,7.5
6332,0.712,18.4
6342,0.976,6.2
6332,0.701,13.5
6342,0.985,8.2
6332,0.725,19.8
6342,0.981,6.5
6332,0.726,18.6
6342,0.984,7.5
6332,0.717,15.9
6342,0.972,8.0
6332,0.725,17.7
6342,0.977,7.5
6332,0.731,15.6
6342,0.984,7.8
6332,0.701,20.3
6342,0.982,7.5
6332,0.718,12.0
6342,0.975,8.2
6342,0.983,8.1
6332,0.726,19.6
6342,0.972,6.4
6332,0.710,20.4
6342,0.981,8.1
6332,0.733,12.7
6342,0.982,6.9
6332,0.707,17.7
6342,0.972,6.8
6332,0.709,12.0
6342,0.979,6.1
6332,0.715,19.6
6342,0.974,7.5
6332,0.707,18.7
6342,0.986,7.6
6332,0.692,20.6
6342,0.978,6.8
6332,0.716,16.2
6342,0.983,8.9
6332,0.723,15.1
6342,0.984,6.7
6342,0.979,7.1
6332,0.720,22.4
6332,0.710,18.7
6342,0.968,8.3
6342,0.981,7.8
6332,0.731,21.1
6342,0.975,5.0
6332,0.711,27.3
6342,0.974,6.3
6342,0.988,8.3
6332,0.719,18.7
6342,0.980,8.1
6332,0.729,15.5
6342,0.974,7.5
6332,0.720,17.7
6342,0.979,7.6
6332,0.716,15.6
6332,0.710,21.5
6342,0.952,8.1
6332,0.720,16.1
6342,0.983,6.6
6332,0.715,16.0
6332,0.710,17.6
6342,0.976,6.8
6332,0.712,15.8
6342,0.979,7.3
6342,0.993,8.4
6342,0.984,8.1
6332,0.737,21.2
6342,0.993,4.7
6332,0.700,19.8
6332,0.724,14.2
6342,0.988,5.8
6332,0.720,15.9
6342,0.986,5.9
6332,0.715,13.6
6342,0.986,5.0
6332,0.717,23.7
6342,0.972,9.3
6332,0.724,17.8
6342,0.988,6.2
6342,0.995,8.1
6342,0.991,12.7
6332,0.708,18.8
6342,0.983,6.1
6332,0.713,17.0
6342,0.984,7.3
6332,0.723,16.1
6342,0.977,4.7
6342,0.983,7.8
6332,0.719,21.3
6332,0.712,15.4
6342,0.973,5.3
6332,0.721,18.5
6342,0.972,5.5
6342,0.988,7.2
6342,0.985,7.9
6332,0.714,22.0
6342,0.974,9.6
6332,0.729,16.1
6342,0.988,6.3
6332,0.731,20.9
6342,0.988,7.0
6332,0.722,19.8
6342,0.988,7.8
6342,0.975,5.2
6332,0.717,21.0
6332,0.705,14.7
6342,0.987,5.3
6342,0.981,7.1
6332,0.717,17.5
6342,0.973,8.6
6332,0.711,18.8
6342,0.984,6.9
6342,0.976,7.5
6332,0.706,17.7
6342,0.983,6.7
6342,0.981,8.6
6332,0.684,15.2
6332,0.711,16.0
6342,0.977,5.7
6342,0.985,6.3
6332,0.700,16.9
6342,0.983,8.9
6332,0.720,14.5
6342,0.972,6.6
6332,0.699,22.1
6342,0.977,6.6
