tid,seq_ratio,avg_stride
10831,0.810,149.6
10841,0.951,40.9
10841,0.965,26.4
10831,0.657,96.6
10841,0.973,43.1
10841,0.971,8952.4
10831,0.680,42.0
10841,0.963,31.4
10841,0.974,8.7
10841,0.971,40.4
10831,0.690,62.1
10841,0.977,6.8
10841,0.972,10.4
10831,0.680,44.3
10841,0.961,4235.8
10841,0.945,43.7
10831,0.678,78.4
10841,0.913,63.8
10841,0.901,12715.8
10831,0.677,78.5
10841,0.955,4252.7
10841,0.960,7.9
10831,0.677,29.7
10841,0.966,9.5
10841,0.970,4219.6
10831,0.673,105.5
10841,0.973,26.3
10841,0.969,7.3
10831,0.691,114.8
10841,0.967,24.5
10841,0.970,9.9
10831,0.677,67.4
10841,0.967,24.9
10841,0.957,28.4
10841,0.971,39.4
10831,0.686,35.3
10841,0.956,22.8
10831,0.680,83.5
10841,0.961,39.8
10841,0.959,40.6
10831,0.685,18.3
10841,0.956,59.3
10841,0.971,1088.7
10831,0.707,33.3
10841,0.964,8.1
10841,0.970,9.6
10831,0.701,47.4
10841,0.958,11.5
10841,0.978,11.2
10831,0.706,17.4
10841,0.960,43.1
10831,0.726,45.9
10841,0.967,39.5
10831,0.710,47.3
10841,0.957,11.7
10831,0.715,19.6
10841,0.964,1597.4
10831,0.712,18.3
10841,0.964,23.8
10831,0.715,17.2
10841,0.966,6.9
10831,0.715,65.6
10841,0.962,8.7
10831,0.699,17.3
10841,0.970,6.9
10831,0.697,35.1
10841,0.975,42.5
10831,0.725,15.0
10841,0.962,25.4
10831,0.704,63.6
10841,0.977,7.3
10831,0.703,48.1
10841,0.956,58.8
10831,0.721,30.2
10841,0.975,8.9
10831,0.707,32.8
10841,0.968,42.4
10831,0.695,49.3
10841,0.961,8.8
10831,0.688,35.9
10841,0.966,17850.5
10831,0.719,33.9
10841,0.959,43.4
10831,0.709,29.6
10841,0.960,43.7
10831,0.709,30.0
10841,0.964,26.8
10831,0.718,17.5
10841,0.969,22.4
10831,0.718,31.8
10831,0.724,31.7
10841,0.962,107.5
10841,0.976,8.1
10831,0.715,47.2
10841,0.961,25.0
10831,0.696,48.5
10841,0.979,22.5
10831,0.716,34.5
10831,0.725,33.4
10841,0.963,51.0
10841,0.968,41.0
10831,0.714,14.4
10831,0.731,19.8
10841,0.963,64.0
10831,0.715,19.7
10841,0.960,25.7
10831,0.703,29.3
10841,0.971,38.4
10831,0.706,18.1
10841,0.961,11.3
10831,0.720,17.6
10841,0.959,76.0
10831,0.723,17.7
10841,0.963,42.9
10831,0.723,13.6
10841,0.962,13.5
10831,0.723,30.9
10841,0.963,39.0
10831,0.719,20.2
10841,0.969,20979.2
10831,0.712,15.5
10841,0.954,95.0
10831,0.714,16.7
10831,0.738,31.9
10841,0.954,58.1
10841,0.966,39.2
10831,0.720,32.8
10831,0.717,32.0
10841,0.951,106.9
10831,0.716,15.2
10841,0.957,3726.1
10831,0.722,15.5
10841,0.973,45.3
10831,0.716,23.9
10841,0.972,39.2
10831,0.718,13.0
10841,0.948,75.7
10831,0.710,34.5
10841,0.957,59.6
10831,0.729,35.6
10841,0.949,48.9
10831,0.719,17.1
10841,0.966,70.5
10831,0.734,16.2
10841,0.964,9.0
10831,0.697,48.6
10841,0.959,41.4
10831,0.711,16.0
10841,0.966,25.1
10831,0.729,18.8
10841,0.952,41.3
10831,0.734,13.9
10841,0.974,9.4
10831,0.729,18.7
10841,0.958,3699.7
10831,0.728,20.6
10831,0.746,19.5
10841,0.958,77.0
10831,0.721,16.1
10841,0.960,25221.8
10831,0.726,16.0
10841,0.953,78.0
10831,0.709,30.0
10841,0.976,6.2
10831,0.724,15.7
10841,0.961,27.6
10831,0.715,17.0
10841,0.950,122.3
10841,0.974,7.6
10831,0.729,19.0
10831,0.712,17.2
10841,0.958,37.7
10831,0.738,19.7
10841,0.958,141.4
10831,0.714,18.2
10841,0.972,44.6
10831,0.736,15.0
10841,0.971,6.6
10831,0.731,15.2
10841,0.951,43.2
10831,0.742,16.0
10841,0.964,16823.5
10831,0.725,17.4
10841,0.945,65.3
10841,0.968,80.5
10831,0.713,14.9
10831,0.729,23.2
10841,0.970,24.7
10831,0.704,31.6
10841,0.966,111.9
10831,0.706,16.7
10841,0.973,25.1
10831,0.715,19.1
10841,0.955,73.5
10831,0.703,13.7
10841,0.971,8.3
10831,0.727,14.4
10841,0.952,29.8
10831,0.721,20.3
10831,0.732,16.2
10841,0.956,9511.4
10831,0.713,33.7
10841,0.954,60.0
10831,0.724,36.1
10841,0.937,173.5
10841,0.948,8979.0
10831,0.711,14.3
10841,0.965,9.5
10831,0.727,17.4
10841,0.955,25223.2
10841,0.966,26.4
10831,0.717,19.4
10841,0.960,8.2
10831,0.726,18.0
10841,0.971,24.9
10831,0.716,17.8
10841,0.961,59.3
10831,0.735,16.9
10841,0.966,55.4
10831,0.728,18.3
10841,0.965,13.0
10841,0.968,27.2
10831,0.739,18.3
10841,0.977,28.2
10831,0.728,21.7
10841,0.965,6908.6
10831,0.728,14.6
10841,0.962,62.3
10841,0.977,26.0
10831,0.740,16.3
10841,0.957,44.1
10831,0.733,25.7
10841,0.964,13.4
10831,0.739,22.6
10841,0.969,9.8
10841,0.977,4207.7
10831,0.730,15.1
10841,0.971,40.8
10831,0.733,14.1
10841,0.973,8.8
10831,0.739,19.2
10841,0.963,41.2
10841,0.967,24.6
10831,0.714,18.1
10841,0.968,27.7
10831,0.714,18.6
10841,0.968,23.8
10841,0.978,9.2
10831,0.713,13.1
10841,0.963,8.3
10831,0.723,18.7
10841,0.975,9.6
10841,0.980,9.3
10831,0.734,30.4
10841,0.959,17918.2
10841,0.980,59.5
10831,0.721,24.8
10841,0.962,43.5
10831,0.718,34.5
10841,0.960,2650.8
10841,0.976,25.2
10831,0.715,15.1
10841,0.964,41.1
10831,0.711,20.9
10841,0.967,5234.1
10841,0.973,59.3
10831,0.714,14.5
10841,0.974,55.8
10831,0.739,20.6
10841,0.968,26.1
10831,0.728,16.3
10841,0.965,60.0
10841,0.973,2144.7
10831,0.711,15.2
10841,0.964,59.0
10831,0.728,19.5
10841,0.970,5233.9
10841,0.973,11.5
10831,0.738,15.5
10841,0.968,9.0
10831,0.719,21.3
10841,0.967,10.8
10841,0.969,11.9
10831,0.711,19.1
10841,0.975,8.0
10831,0.700,15.1
10841,0.974,25.8
10841,0.978,8.7
10831,0.714,14.3
10841,0.961,28.9
10831,0.729,21.5
10841,0.976,9.4
10841,0.968,7.7
10831,0.723,15.5
10841,0.969,12572.3
10831,0.723,14.3
10841,0.969,2156.0
10831,0.734,17.4
10841,0.969,4722.5
10841,0.970,9.5
10831,0.723,19.4
10841,0.957,13624.4
10831,0.709,20.3
10841,0.969,14.5
10841,0.974,24.4
10831,0.724,18.2
10841,0.969,41.5
10831,0.723,20.7
10841,0.971,42.1
10841,0.965,13639.8
10831,0.703,17.0
10841,0.971,61.6
10831,0.731,14.9
10841,0.950,30.1
10841,0.961,29.0
10831,0.732,17.9
10841,0.968,8.1
10831,0.731,21.5
10841,0.971,43.4
10841,0.969,56.0
10831,0.720,17.8
10841,0.966,9.8
10831,0.732,16.7
10841,0.976,9.7
10841,0.962,18360.1
10831,0.729,17.4
10841,0.970,26.1
10831,0.716,14.0
10841,0.971,26.0
10841,0.971,41.8
10831,0.719,21.3
10841,0.963,61.4
10841,0.965,15.3
10831,0.702,29.0
10841,0.964,19438.8
10831,0.730,18.7
10841,0.956,74.9
10831,0.731,16.8
10841,0.971,29.3
10841,0.969,25.9
10831,0.735,19.3
10841,0.971,19424.3
10831,0.719,20.9
10841,0.965,10.9
10841,0.978,24.7
10831,0.733,17.2
10841,0.972,44.0
10831,0.727,16.7
10841,0.960,43.6
10841,0.968,28.0
10831,0.728,14.3
10841,0.970,19408.4
10831,0.724,20.0
10841,0.969,26.9
10841,0.960,78.4
10831,0.722,16.6
10841,0.973,41.4
10831,0.726,15.1
10841,0.977,7.3
10841,0.970,42.9
10831,0.725,18.6
10841,0.962,13.5
10831,0.734,18.5
10841,0.966,24650.7
10841,0.971,8.4
10831,0.725,14.7
10841,0.973,10.3
10841,0.966,17.4
10831,0.715,14.8
10841,0.962,42.9
10831,0.713,15.8
10841,0.960,25.4
10831,0.728,16.2
10841,0.974,10.8
10841,0.965,44.1
10831,0.725,17.3
10841,0.968,8.3
10831,0.726,19.0
10841,0.975,8.9
10841,0.962,59.8
10831,0.719,15.2
10841,0.968,8.6
10831,0.708,18.4
10841,0.965,28.5
10831,0.737,17.7
10841,0.969,10.0
10841,0.963,12.4
10831,0.712,22.5
10841,0.976,46.4
10841,0.973,1080.7
10831,0.728,15.2
10841,0.959,13.8
10831,0.717,16.2
10841,0.969,10.5
10841,0.953,63.0
10831,0.714,14.5
10841,0.973,9.1
10831,0.707,16.4
10841,0.976,10508.3
10831,0.710,18.8
10841,0.974,6.8
10841,0.968,9.9
10831,0.723,17.0
10841,0.981,9.3
10841,0.971,9010.5
10831,0.709,19.4
10841,0.962,9.3
10841,0.969,7.4
10831,0.719,25.5
10841,0.973,23.7
10841,0.972,7.8
10831,0.731,17.7
10841,0.987,5.4
10831,0.718,18.1
10841,0.973,12.7
10831,0.726,14.0
10841,0.972,5.3
10841,0.981,17853.6
10831,0.712,21.5
10841,0.972,5.4
10841,0.976,75.7
10831,0.715,37.1
10841,0.970,5.9
10831,0.718,19.9
10841,0.957,23.4
10841,0.979,12.1
10831,0.716,11.0
10841,0.970,6.2
10841,0.985,8.0
10831,0.716,21.5
10841,0.962,145.6
10841,0.976,39.4
10831,0.718,22.5
10841,0.971,40.0
10841,0.984,8.5
10831,0.712,16.4
10841,0.964,52471.7
10841,0.972,58.5
10831,0.732,17.0
10841,0.977,5.5
10831,0.709,15.3
10841,0.976,29.5
10841,0.977,4.9
10831,0.709,14.6
10841,0.964,10596.8
10841,0.973,8.6
10831,0.719,21.8
10841,0.971,4220.7
10841,0.958,40.4
10831,0.725,16.5
10841,0.982,4218.5
10841,0.971,10.8
10831,0.710,12.9
10841,0.974,22.3
10841,0.972,8.7
10831,0.717,18.9
10841,0.967,22.7
10841,0.976,40.2
10831,0.718,23.7
10841,0.967,7348.1
10841,0.973,8.2
10831,0.705,13.1
10841,0.973,6296.8
10831,0.714,21.7
10841,0.969,5.1
10831,0.715,21.1
10841,0.984,6.3
10841,0.967,1088.1
10841,0.977,10.4
10831,0.720,15.2
10841,0.973,9009.8
10841,0.963,27.8
10831,0.712,21.8
10841,0.979,2102.4
10841,0.970,10.5
10831,0.726,15.7
10841,0.971,23.4
10841,0.975,27.8
10831,0.718,13.4
10841,0.969,1071.6
10831,0.710,14.6
10841,0.980,59.3
10841,0.981,6.3
10831,0.722,15.1
10841,0.974,40.6
10841,0.981,11527.6
10831,0.712,14.8
10841,0.972,57.2
10841,0.965,9.4
10831,0.721,19.5
10841,0.983,5.0
10841,0.977,11580.1
10831,0.733,20.6
10841,0.979,5.0
10831,0.707,16.7
10841,0.973,11.2
10841,0.973,5.3
10831,0.709,19.1
10841,0.976,76.1
10841,0.976,11544.4
10831,0.715,39.5
10841,0.969,40.1
10831,0.708,19.0
10841,0.958,9.3
10831,0.732,12.6
10841,0.974,4.9
10841,0.974,4.8
10831,0.726,13.6
10841,0.970,9.7
10841,0.952,19941.7
10831,0.688,12.9
10841,0.975,39.9
10841,0.979,91.8
10831,0.712,13.2
10841,0.978,5.7
10841,0.975,10.9
10831,0.726,17.0
10841,0.977,11570.8
10841,0.978,9461.5
10831,0.713,19.6
10841,0.971,11065.5
10841,0.978,26.7
10831,0.711,23.2
10841,0.963,11539.6
10841,0.980,8.1
10831,0.711,22.0
10841,0.977,5.7
10831,0.712,20.7
10841,0.978,9.3
10841,0.959,5.6
10831,0.726,22.7
10841,0.974,25.6
10831,0.715,20.7
10831,0.724,21.1
10841,0.977,7.9
10831,0.715,14.6
10831,0.721,16.9
10841,0.924,27.2
10831,0.723,20.8
10841,0.986,21.9
10831,0.716,18.5
10841,0.970,11521.7
10831,0.719,22.9
10841,0.974,11521.9
10831,0.709,24.0
10841,0.975,23.8
10841,0.975,11.0
10841,0.990,9.3
10831,0.730,26.4
10841,0.964,52523.9
10831,0.722,12.3
10841,0.977,7.5
10841,0.988,8.1
10841,0.960,45.3
10831,0.713,16.8
10831,0.726,15.3
10831,0.716,18.3
10831,0.740,19.6
10831,0.718,18.7
10841,0.987,6.9
10831,0.732,22.4
10841,0.977,24.4
10831,0.728,18.7
10841,0.982,7.4
10831,0.773,18.9
10841,0.984,4.9
10831,0.750,22.3
10841,0.981,22.7
10831,0.730,14.7
10841,0.978,38.6
10831,0.726,21.5
10841,0.990,4.8
10841,0.985,5.2
10831,0.712,17.5
10841,0.988,4.7
10831,0.707,17.7
10841,0.981,11012.9
10841,0.992,8.2
10841,0.995,9.3
10831,0.711,19.8
10841,0.974,23062.0
10841,0.989,10998.9
10831,0.714,19.0
10841,0.981,4.5
10831,0.720,17.5
10841,0.982,4.6
10831,0.741,14.9
10841,0.980,4.6
10841,0.984,9.2
10841,0.994,9.2
10831,0.743,17.6
10841,0.968,25188.5
10841,0.971,10.3
10841,0.993,8.0
10841,0.996,8.0
10831,0.719,18.3
10841,0.958,19993.0
10831,0.722,15.2
10841,0.979,8.1
10841,0.986,4.9
10831,0.740,13.7
10841,0.984,21.6
10831,0.687,22.2
10841,0.984,8.9
10841,0.983,6.7
10831,0.727,15.4
10841,0.984,22.3
10841,0.984,4.7
10831,0.720,15.7
10841,0.983,20.6
10831,0.713,14.2
10841,0.986,4.9
10841,0.979,7.7
10841,0.995,8.4
10831,0.705,20.0
10841,0.977,10532.1
10841,0.981,17291.7
10831,0.715,17.2
10841,0.974,47.0
10841,0.996,8.3
10841,0.983,13652.8
10831,0.708,17.0
10841,0.989,4.8
10841,0.991,5.2
10831,0.723,18.1
10841,0.988,4.8
10831,0.721,14.5
10841,0.984,5.4
10831,0.715,19.1
10841,0.989,8.4
10841,0.965,24.6
10831,0.708,25.6
10841,0.989,6.9
10831,0.715,22.0
10841,0.992,4.6
10841,0.987,7.8
10831,0.729,16.2
10841,0.986,9.0
10831,0.704,19.8
10841,0.978,38.0
10841,0.992,10.7
10841,0.997,8.1
10841,0.950,122.7
10841,0.995,8.0
10841,0.994,8.3
10831,0.698,18.3
10841,0.960,6.1
10841,0.984,5.5
10831,0.708,16.1
10841,0.988,6.1
10831,0.708,18.8
10841,0.988,7.0
10841,0.983,4.9
10831,0.729,15.3
10841,0.987,7.6
10831,0.713,17.5
10841,0.982,6.8
10831,0.709,26.4
10841,0.979,25.1
10841,0.987,4.6
10831,0.712,17.7
10841,0.983,8.6
10831,0.711,22.2
10841,0.987,9461.3
10831,0.718,16.2
10841,0.986,20.9
10841,0.986,8.0
10841,0.993,8.9
10841,0.971,22609.4
10831,0.703,26.2
10841,0.966,10.1
10841,0.995,8.0
10841,0.996,8.4
10841,0.974,19418.1
10831,0.709,20.1
10841,0.986,22.1
10831,0.707,15.5
10841,0.988,6.6
10841,0.984,12585.9
10831,0.716,18.6
10841,0.978,4.8
10831,0.708,18.3
10841,0.980,7.1
10841,0.970,10546.2
10841,0.993,8.2
10841,0.995,8.2
10831,0.714,18.1
10841,0.962,3744.0
10831,0.711,16.6
10841,0.966,41.8
10831,0.721,18.4
10841,0.981,9.0
10831,0.706,14.8
10841,0.987,6.9
10841,0.989,6.6
10831,0.725,22.1
10841,0.992,4.8
10831,0.707,23.5
10841,0.989,6.8
10831,0.718,19.2
10831,0.710,22.7
10831,0.719,16.0
10831,0.729,16.7
10841,0.972,45.4
10841,0.994,8.3
10841,0.996,8.8
10831,0.724,16.5
10831,0.709,26.9
10841,0.935,4294.0
10831,0.719,21.4
10841,0.985,6.0
10831,0.719,38.2
10831,0.741,15.5
10831,0.728,23.9
10841,0.936,7.8
10831,0.727,18.9
10841,0.978,7.1
10831,0.727,20.4
10841,0.987,4.9
10831,0.732,20.5
10841,0.985,4.7
10831,0.782,20.7
10841,0.992,4.7
10841,0.986,12.3
10831,0.735,17.3
10831,0.728,19.5
10831,0.733,25.2
10831,0.735,23.1
10841,0.973,23090.8
10831,0.790,20.0
10841,0.985,10490.9
10831,0.723,22.2
10841,0.982,5.4
10831,0.736,18.5
10841,0.994,5.4
10841,0.984,6.5
10841,0.987,9.4
10831,0.751,19.9
10841,0.961,64025.7
10831,0.722,16.7
