tid,seq_ratio,avg_stride
11801,0.837,6833.0
11815,0.962,7.1
11815,0.965,8401.4
11815,0.978,7.0
11801,0.687,33.4
11815,0.968,7.5
11815,0.971,6.5
11801,0.681,29.9
11815,0.975,7.2
11815,0.966,19403.4
11815,0.970,8921.1
11801,0.689,31.5
11815,0.974,19403.1
11815,0.965,85986.4
11801,0.691,28.6
11815,0.948,6.7
11815,0.914,56635.1
11801,0.674,29.8
11815,0.882,142617.9
11815,0.935,29893.4
11801,0.674,29.3
11815,0.964,8922.4
11815,0.960,19408.0
11815,0.962,10498.8
11801,0.709,24.4
11815,0.961,12596.0
11815,0.960,6.4
11801,0.696,24.2
11815,0.964,7.7
11815,0.975,7.1
11801,0.701,19.0
11815,0.956,14163.9
11815,0.959,13636.1
11815,0.968,7.0
11801,0.706,15.4
11815,0.960,6821.0
11815,0.966,6.2
11801,0.683,16.1
11815,0.953,20449.5
11815,0.967,7.0
11801,0.721,15.7
11815,0.963,1053.6
11815,0.963,6.2
11801,0.706,16.9
11815,0.966,17306.6
11815,0.965,17834.3
11801,0.700,14.8
11815,0.963,22023.3
11815,0.961,7.7
11801,0.700,15.0
11815,0.952,24125.6
11801,0.701,17.6
11815,0.953,5.6
11801,0.705,17.3
11815,0.958,7.1
11801,0.728,17.6
11815,0.969,6.3
11801,0.692,18.5
11815,0.955,17835.4
11801,0.719,15.0
11815,0.947,6.0
11801,0.718,16.5
11815,0.953,59775.4
11801,0.711,15.1
11815,0.975,6.1
11801,0.712,18.5
11815,0.956,18356.0
11801,0.712,13.7
11801,0.728,16.3
11815,0.950,6.5
11801,0.696,16.7
11815,0.938,8.4
11801,0.727,17.4
11815,0.964,78653.2
11801,0.724,15.9
11815,0.955,7.1
11801,0.716,16.7
11815,0.962,7.4
11801,0.711,16.9
11815,0.948,7.2
11815,0.953,36703.6
11801,0.705,16.2
11801,0.732,14.2
11815,0.965,5.3
11801,0.711,15.5
11815,0.947,7.4
11801,0.710,14.9
11815,0.957,15739.2
11801,0.729,16.6
11815,0.965,6.0
11801,0.720,13.3
11815,0.956,7.2
11801,0.718,13.7
11815,0.951,42996.1
11801,0.726,18.5
11815,0.971,17836.1
11801,0.741,15.0
11815,0.963,8398.7
11801,0.709,15.0
11815,0.957,58205.9
11801,0.727,16.0
11815,0.957,22024.8
11801,0.720,18.7
11815,0.956,8920.7
11801,0.698,19.3
11815,0.962,8921.9
11801,0.725,14.5
11815,0.968,6.8
11801,0.708,16.7
11815,0.967,31464.0
11801,0.720,19.3
11815,0.952,6.7
11801,0.737,14.8
11815,0.963,6.7
11801,0.716,21.7
11815,0.944,5.9
11801,0.725,14.4
11815,0.966,7.3
11801,0.718,15.2
11815,0.958,7.1
11801,0.713,15.3
11815,0.950,72354.1
11801,0.733,16.3
11815,0.963,6.4
11801,0.715,15.6
11801,0.706,17.3
11815,0.962,16259.0
11801,0.736,18.8
11815,0.965,4730.8
11801,0.735,20.5
11815,0.956,68682.6
11801,0.718,13.4
11815,0.957,3155.9
11801,0.721,16.5
11815,0.940,20453.7
11801,0.733,16.9
11815,0.958,9440.7
11801,0.701,16.9
11815,0.942,36702.2
11801,0.710,16.2
11815,0.953,157282.0
11801,0.713,16.4
11815,0.955,40376.1
11801,0.738,15.8
11815,0.982,6.7
11801,0.716,13.5
11815,0.944,53484.5
11801,0.716,18.1
11815,0.945,10493.8
11801,0.740,16.8
11815,0.959,5.8
11801,0.732,19.5
11815,0.964,1057.8
11801,0.713,18.0
11801,0.710,19.6
11815,0.954,6.7
11815,0.960,5.5
11801,0.732,19.2
11801,0.725,17.8
11815,0.955,15740.1
11801,0.719,13.8
11815,0.962,6.3
11801,0.731,17.9
11815,0.959,20983.0
11801,0.735,14.2
11815,0.961,6.9
11801,0.721,14.5
11815,0.955,16782.1
11801,0.717,13.9
11815,0.967,19926.8
11801,0.717,16.3
11815,0.961,4720.0
11801,0.727,14.2
11815,0.965,1577.2
11801,0.726,18.4
11801,0.716,22.7
11815,0.961,34090.1
11801,0.724,17.1
11815,0.962,2100.1
11815,0.969,1577.9
11801,0.705,19.1
11801,0.728,17.8
11815,0.939,6299.6
11815,0.950,36699.3
11801,0.717,15.5
11801,0.719,18.0
11815,0.967,5248.3
11815,0.950,9446.8
11801,0.720,17.1
11801,0.719,23.2
11815,0.944,22548.7
11815,0.969,7.5
11801,0.718,17.2
11801,0.716,13.4
11815,0.947,2099.9
11801,0.723,13.6
11815,0.960,3153.9
11801,0.730,15.3
11815,0.947,25165.9
11801,0.752,17.5
11815,0.962,41424.0
11801,0.729,19.5
11815,0.950,12586.9
11801,0.720,19.0
11815,0.939,4206.9
11801,0.706,21.4
11815,0.944,40900.2
11815,0.941,35658.8
11801,0.738,15.9
11815,0.968,23071.7
11801,0.725,20.3
11815,0.966,5247.9
11801,0.732,20.5
11815,0.958,7.1
11801,0.726,21.2
11815,0.957,14685.3
11801,0.718,16.6
11815,0.963,29886.0
11815,0.966,1581.7
11801,0.716,17.0
11815,0.970,37226.9
11801,0.721,20.8
11815,0.981,5248.4
11801,0.733,15.7
11815,0.978,5249.0
11815,0.974,7.4
11801,0.702,18.6
11815,0.978,7.5
11801,0.712,17.6
11815,0.977,6.5
11801,0.745,19.6
11815,0.966,6.4
11815,0.959,15208.2
11801,0.712,17.1
11815,0.981,8.0
11801,0.717,15.5
11815,0.975,6.6
11801,0.722,17.5
11815,0.972,7.9
11815,0.975,7.6
11801,0.713,14.4
11815,0.981,6.4
11801,0.726,18.6
11815,0.974,7.7
11815,0.970,6.7
11801,0.722,23.5
11815,0.983,7.0
11801,0.728,18.8
11815,0.964,18884.4
11815,0.978,7.5
11801,0.744,15.1
11815,0.979,7.3
11801,0.735,15.6
11815,0.979,532.1
11815,0.982,7.5
11801,0.709,14.8
11815,0.973,6.8
11801,0.707,16.7
11815,0.979,30938.0
11815,0.981,7.0
11801,0.731,18.4
11815,0.965,8.7
11801,0.724,18.3
11815,0.978,33561.5
11801,0.742,19.4
11815,0.976,7.4
11815,0.978,19403.6
11801,0.735,15.7
11815,0.980,7.5
11801,0.728,15.2
11815,0.977,22023.7
11801,0.730,23.6
11815,0.983,6.6
11815,0.974,33558.9
11801,0.722,14.8
11815,0.980,7.6
11801,0.732,21.7
11815,0.974,9448.7
11801,0.730,13.6
11815,0.981,7.1
11801,0.719,16.5
11815,0.977,8.3
11815,0.975,8.8
11801,0.723,11.9
11815,0.970,26221.5
11801,0.705,14.1
11815,0.974,39849.7
11815,0.987,6.8
11801,0.718,17.8
11815,0.974,2627.6
11801,0.719,14.4
11815,0.980,7.8
11815,0.981,18355.4
11801,0.728,16.1
11815,0.979,8.5
11801,0.732,18.9
11815,0.966,19929.4
11801,0.713,13.8
11815,0.977,5.9
11815,0.969,22027.9
11801,0.706,16.5
11815,0.980,7.9
11801,0.714,14.3
11815,0.988,7.4
11801,0.719,17.6
11815,0.977,7.2
11815,0.974,4724.3
11801,0.723,14.0
11815,0.987,6.7
11815,0.977,4724.5
