tid,seq_ratio,avg_stride
12520,0.840,18.6
12521,0.963,7.5
12521,0.969,9.9
12520,0.699,31.8
12521,0.986,7.7
12521,0.982,8.3
12520,0.717,24.2
12521,0.979,7.0
12521,0.982,6.6
12520,0.690,28.6
12521,0.984,6.3
12521,0.974,7.4
12521,0.986,6.4
12520,0.712,26.3
12521,0.977,6.9
12521,0.954,8.3
12520,0.706,24.9
12521,0.933,7.1
12521,0.940,8.1
12520,0.713,23.0
12521,0.976,6.0
12521,0.981,6.5
12520,0.690,27.1
12521,0.972,7.2
12521,0.974,7.6
12521,0.977,6.2
12520,0.683,25.8
12521,0.981,7.7
12521,0.974,9.9
12520,0.707,23.7
12521,0.979,8.1
12521,0.979,7.4
12521,0.983,8.5
12520,0.700,17.8
12521,0.973,6.6
12521,0.975,6.2
12520,0.704,20.7
12521,0.972,5.9
12521,0.979,6.8
12520,0.695,18.0
12521,0.962,8.4
12521,0.971,6.8
12520,0.710,15.5
12521,0.983,7.0
12521,0.976,7.0
12520,0.710,15.7
12521,0.976,6.7
12521,0.983,6.3
12521,0.973,6.4
12520,0.715,15.3
12520,0.711,14.4
12521,0.975,7.4
12521,0.977,6.4
12520,0.728,16.1
12521,0.971,6.7
12520,0.716,16.0
12521,0.974,6.4
12520,0.718,15.2
12521,0.969,7.8
12520,0.696,13.8
12521,0.974,10.7
12520,0.713,14.9
12521,0.978,6.6
12521,0.984,6.3
12520,0.693,11.8
12520,0.722,13.4
12521,0.973,6.2
12521,0.973,7.7
12520,0.702,11.7
12520,0.712,11.7
12521,0.978,7.1
12521,0.981,10.0
12520,0.724,12.1
12521,0.970,5.0
12520,0.712,14.7
12521,0.970,7.7
12520,0.716,11.6
12521,0.963,8.7
12521,0.958,7.1
12520,0.705,15.2
12521,0.977,8.3
12520,0.722,15.2
12521,0.970,6.3
12520,0.714,12.8
12520,0.730,12.5
12521,0.977,9.1
12520,0.704,13.0
12521,0.979,6.8
12521,0.983,5.9
12520,0.707,12.6
12521,0.973,7.9
12520,0.729,14.1
12521,0.978,7.0
