tid,seq_ratio,avg_stride
13106,0.840,18.1
13116,0.961,8.0
13116,0.978,7.7
13106,0.740,30.2
13116,0.985,8.3
13116,0.978,7.4
13106,0.744,29.0
13116,0.978,6.5
13116,0.982,7.5
13106,0.757,24.6
13116,0.982,6.7
13116,0.985,6.3
13106,0.759,22.7
13116,0.982,6.1
13116,0.964,8.6
13116,0.973,6.7
13106,0.756,23.4
13116,0.935,10.7
13106,0.749,28.6
13116,0.928,6.6
13116,0.969,5.8
13106,0.771,24.6
13116,0.962,1578.7
13116,0.966,1055.2
13106,0.752,26.0
13116,0.972,20985.4
13116,0.963,7.1
13106,0.757,23.5
13116,0.961,2107.0
13116,0.955,3676.0
13106,0.775,16.0
13116,0.970,1578.3
13116,0.974,7.2
13106,0.752,17.8
13116,0.963,21497.2
13116,0.963,6.6
13106,0.775,14.4
13116,0.967,6.8
13116,0.969,6.7
13106,0.762,13.9
13116,0.970,7.0
13116,0.969,11015.9
13106,0.781,13.9
13116,0.962,7.2
13116,0.975,11015.5
13106,0.781,13.7
13116,0.965,6.8
13106,0.754,14.1
13116,0.961,6.5
13116,0.977,6.7
13116,0.970,7.5
13106,0.794,14.1
13106,0.788,13.2
13116,0.965,8920.7
13116,0.978,7.9
13106,0.764,11.1
13116,0.966,6.2
13106,0.776,14.7
13116,0.971,9.2
13106,0.759,15.2
13106,0.786,13.2
13116,0.967,7.7
13116,0.970,6.4
13106,0.770,10.6
13106,0.784,15.4
13116,0.973,6.7
13116,0.978,7.0
13106,0.759,12.4
13106,0.762,13.2
13116,0.968,6.9
13116,0.977,6.3
13106,0.779,13.0
13116,0.965,6.0
13106,0.765,15.2
13116,0.979,8.9
13106,0.767,12.1
13116,0.979,5.7
13106,0.793,11.0
13116,0.979,6.5
13106,0.782,13.0
13116,0.973,8.0
13106,0.785,14.5
13116,0.964,8.4
13106,0.785,15.9
13116,0.976,5.3
13106,0.764,10.9
13116,0.971,5.8
13106,0.799,15.0
13116,0.969,10.5
13106,0.777,12.4
13116,0.982,7.2
13106,0.762,14.0
13116,0.970,6.6
13106,0.767,13.9
13116,0.961,1056.2
13106,0.770,13.4
13116,0.975,7.8
13106,0.782,16.1
13116,0.978,7.0
13106,0.781,12.5
13116,0.976,6.6
13106,0.768,16.3
13116,0.974,6.7
13106,0.775,13.5
13116,0.971,6.5
13106,0.766,16.6
13116,0.967,7.8
13106,0.773,13.6
13116,0.977,10.0
13116,0.976,7.5
13106,0.774,14.6
13116,0.977,7.5
13106,0.770,17.0
13116,0.975,6.8
13106,0.752,15.5
13116,0.977,5.8
13106,0.767,15.4
13116,0.979,7.2
13106,0.783,12.8
13116,0.973,6.0
13106,0.766,14.6
13116,0.973,6.5
13106,0.784,11.8
13116,0.970,6.2
13106,0.785,16.0
13116,0.975,7.5
13106,0.777,14.3
13116,0.972,7.8
13106,0.773,18.9
13116,0.975,5.4
13106,0.765,13.5
13116,0.975,6.4
13106,0.770,14.6
13116,0.972,6.1
13106,0.764,13.7
13106,0.783,15.1
13116,0.979,6.5
13106,0.765,15.7
13116,0.968,7.5
13116,0.976,9.1
13106,0.773,12.9
13116,0.977,5.8
13106,0.770,13.7
13116,0.981,6.8
13106,0.777,16.4
13116,0.974,6.1
13106,0.789,14.2
13116,0.969,7.6
13106,0.773,11.9
13116,0.968,6.2
13106,0.782,16.1
13106,0.782,16.8
13116,0.978,7.9
13106,0.777,15.9
13116,0.977,6.8
13116,0.983,6.2
13106,0.766,15.8
13106,0.797,16.9
13116,0.978,6.9
13106,0.780,19.7
13116,0.971,6.4
13106,0.788,14.5
13116,0.984,6.9
13116,0.975,7.5
13106,0.783,15.6
13116,0.977,5.8
13106,0.786,19.1
13106,0.775,15.4
13116,0.976,7.9
13116,0.979,6.3
13106,0.775,12.8
13116,0.982,5.9
13106,0.792,11.7
13116,0.973,6.8
13106,0.774,13.7
13116,0.983,7.7
13106,0.781,16.0
13106,0.781,17.5
13116,0.967,5.4
13116,0.983,5.7
13106,0.772,14.8
13116,0.976,7.3
13106,0.780,15.9
13116,0.975,5.7
13106,0.768,13.2
13116,0.976,7.4
13106,0.773,15.8
13116,0.976,6.4
13106,0.757,16.1
13116,0.970,11539.8
13106,0.772,19.5
13116,0.972,9.5
13106,0.776,13.7
13116,0.979,6.6
13106,0.800,16.1
13106,0.789,15.2
13116,0.971,6.6
13116,0.972,8.5
13106,0.786,23.5
13106,0.779,12.1
13116,0.969,7.4
13106,0.793,19.1
13116,0.950,5253.9
13116,0.967,7.1
13106,0.783,16.4
13116,0.972,8.1
13116,0.975,6.8
13106,0.784,18.8
13116,0.976,7.5
13106,0.794,14.0
13116,0.980,6.8
13106,0.784,11.1
13116,0.967,5.4
13106,0.782,14.1
13116,0.982,8.7
13106,0.786,14.8
13116,0.966,6.9
13106,0.776,14.7
13116,0.979,6.9
13116,0.979,8.3
13106,0.816,14.5
13116,0.979,2628.4
13106,0.791,13.3
13116,0.983,8.7
13106,0.792,15.9
13116,0.983,6.9
13116,0.982,6.9
13106,0.779,14.4
13116,0.975,6.0
13116,0.975,9.3
13106,0.788,15.0
13116,0.987,7.1
13106,0.782,14.1
13116,0.978,7.5
13116,0.985,7.6
13106,0.786,11.2
13116,0.979,6.9
13106,0.785,14.9
13116,0.976,7.2
13116,0.983,9.7
13106,0.782,13.2
13116,0.975,6.0
13106,0.778,13.1
13116,0.986,8.0
13116,0.980,8.0
13106,0.776,13.7
13116,0.976,8.2
13106,0.777,16.7
13116,0.981,7.1
13106,0.796,16.9
13116,0.983,7.7
13116,0.982,7.6
13106,0.789,13.4
13116,0.980,7.1
13106,0.773,10.2
13116,0.983,6.4
13116,0.982,8.4
13106,0.805,9.5
13116,0.976,6.8
13106,0.789,14.8
13116,0.984,7.6
13106,0.784,15.5
13116,0.971,7.0
13116,0.981,6.4
13106,0.797,15.2
13116,0.975,7.0
13106,0.793,13.0
13116,0.980,7.2
13116,0.989,6.8
13106,0.782,13.9
13116,0.977,8.1
13106,0.774,17.8
13116,0.976,6.7
13116,0.982,8.6
13106,0.796,17.2
13116,0.983,6.7
13106,0.787,17.1
13116,0.982,8.0
13116,0.980,7.3
13106,0.799,16.2
13116,0.969,6.7
13106,0.789,12.9
13116,0.979,9.1
13116,0.981,8.7
13106,0.779,12.9
13116,0.987,6.9
13106,0.780,14.5
13116,0.978,7.5
13116,0.987,6.9
13106,0.777,11.3
13116,0.982,7.3
13106,0.781,14.6
13116,0.978,5.7
13106,0.796,15.5
13116,0.977,7.4
13116,0.977,7.7
13106,0.790,13.6
13116,0.980,7.1
13106,0.767,12.8
13116,0.980,8.5
13116,0.981,7.0
13106,0.786,15.1
13116,0.980,7.2
13106,0.773,13.8
13116,0.981,7.3
13116,0.981,8.0
13106,0.780,10.9
13116,0.974,6.1
13106,0.791,14.4
13116,0.980,6.8
13106,0.792,13.9
13116,0.978,8.5
13116,0.986,7.3
13106,0.791,18.1
13116,0.977,7.4
13106,0.794,12.1
13116,0.987,6.6
13116,0.983,7.6
13106,0.794,14.2
13116,0.983,6.8
13106,0.782,15.3
13116,0.980,8.1
13106,0.801,12.7
13116,0.980,5.8
13116,0.978,7.1
13106,0.780,13.0
13116,0.978,8.0
13116,0.984,7.2
13106,0.775,14.9
13116,0.979,6.3
13106,0.786,15.8
13116,0.979,6.8
13116,0.984,7.4
13106,0.772,12.8
13116,0.982,9.0
13106,0.792,12.6
13116,0.980,6.7
13106,0.785,12.8
13116,0.984,5.3
13116,0.987,8.5
13106,0.812,14.5
13116,0.979,7.2
13106,0.784,13.8
13116,0.975,7.1
13116,0.980,7.0
13106,0.805,11.4
13116,0.983,8.3
13106,0.783,16.5
13116,0.986,7.0
13116,0.983,7.6
13106,0.786,16.5
13116,0.979,7.4
13106,0.787,14.2
13116,0.982,6.4
13116,0.985,6.4
13106,0.770,16.1
13116,0.978,8.0
13106,0.796,15.4
13116,0.975,7.7
13106,0.780,15.4
13116,0.983,7.8
13116,0.979,7.3
13106,0.788,15.6
13116,0.983,7.2
13106,0.788,19.2
13116,0.979,8.0
13116,0.976,13637.8
13106,0.782,16.3
13116,0.984,9.4
13106,0.769,14.0
13116,0.976,7.1
13116,0.971,8.8
13106,0.787,13.1
13116,0.982,6.8
13106,0.792,14.6
13116,0.975,8.2
13106,0.789,15.2
13116,0.979,6.9
13116,0.977,9.3
13106,0.793,14.7
13116,0.984,6.5
13106,0.786,20.1
13116,0.976,6.6
13116,0.979,6.0
13106,0.781,20.6
13116,0.983,7.3
13106,0.797,13.5
13116,0.982,7.6
13116,0.971,9.9
13106,0.798,11.3
13116,0.965,6.1
13106,0.787,14.6
13116,0.979,7.3
13106,0.788,23.2
13116,0.979,5.1
13106,0.793,16.8
13116,0.969,5.1
13116,0.977,7.3
13116,0.985,7.8
13106,0.784,20.1
13116,0.986,8.3
13116,0.978,6.8
13106,0.785,16.3
13116,0.979,6.3
13106,0.792,22.2
13116,0.978,5.4
13116,0.986,7.0
13106,0.791,12.1
13116,0.982,6.3
13106,0.782,20.2
13116,0.978,1580.8
13116,0.979,7.1
13106,0.797,20.7
13116,0.981,5.6
13116,0.993,6.8
13106,0.799,15.9
13116,0.975,6.0
13106,0.792,19.7
13116,0.971,4.9
13116,0.986,6300.2
13106,0.800,21.2
13116,0.977,6.2
13116,0.983,7.4
13106,0.772,12.9
13116,0.976,11.8
13116,0.982,5.8
13106,0.798,14.1
13116,0.975,6.6
13116,0.992,5.7
13106,0.793,12.3
13116,0.977,6.5
13116,0.987,6.7
13106,0.785,16.6
13116,0.977,1058.1
13106,0.791,19.9
