tid,seq_ratio,avg_stride
13691,0.849,18.0
13701,0.965,8.0
13701,0.977,8.7
13691,0.713,29.8
13701,0.985,8.3
13701,0.979,6.9
13701,0.970,8.3
13691,0.703,30.5
13701,0.980,6.7
13701,0.982,6.7
13691,0.703,32.7
13701,0.978,6.7
13701,0.982,6.3
13691,0.717,30.1
13701,0.969,8.1
13701,0.961,7.0
13691,0.715,30.8
13701,0.935,9.1
13701,0.935,6.5
13691,0.692,30.0
13701,0.978,6.1
13701,0.974,6.8
13701,0.981,7.4
13691,0.687,26.7
13701,0.978,7.4
13701,0.970,6.0
13691,0.695,24.1
13701,0.978,10.1
13701,0.974,7.4
13691,0.699,22.3
13701,0.974,7.3
13701,0.980,9.5
13691,0.703,18.2
13701,0.976,6.0
13701,0.978,7.9
13691,0.701,14.7
13701,0.979,6.0
13701,0.968,7.0
13691,0.702,16.7
13701,0.971,6.7
13701,0.972,6.3
13691,0.715,15.7
13701,0.972,7.1
13701,0.973,7.1
13691,0.721,17.6
13701,0.976,7.1
13701,0.981,6.6
13691,0.715,16.3
13701,0.982,7.4
13691,0.724,18.1
13701,0.965,6.7
13691,0.697,17.2
13701,0.980,6.4
13701,0.983,6.9
13691,0.724,17.7
13701,0.972,6.7
13691,0.705,15.4
13701,0.979,6.4
13691,0.692,16.0
13701,0.977,6.8
13691,0.718,15.5
13691,0.708,15.5
13701,0.975,7.2
13691,0.716,15.5
13701,0.977,7.0
13691,0.712,13.6
13701,0.972,7.8
13701,0.971,6.3
13691,0.717,16.1
13691,0.713,17.9
13701,0.974,6.6
13691,0.709,17.1
13701,0.977,8.0
13701,0.977,6.0
13691,0.705,14.3
13701,0.978,8.1
13701,0.969,5.9
13701,0.968,7.8
13691,0.710,15.8
13701,0.970,6.4
13701,0.974,6.8
13701,0.981,8.0
13691,0.718,16.3
13701,0.969,9.3
13701,0.980,8.5
13691,0.713,16.6
13701,0.973,7.3
13701,0.974,5.2
13701,0.974,6.8
13691,0.712,18.4
13701,0.975,7.0
13701,0.975,6.1
13691,0.720,12.6
13701,0.978,6.1
13701,0.977,6.6
13701,0.977,6.7
13701,0.983,7.9
13691,0.712,16.7
13701,0.973,8.6
13701,0.978,7.0
13691,0.703,14.5
13701,0.977,7.5
