timestamp_ns,mapping,last_index,mapping_nrpages,tgid,window_id,sample_count,seq_ratio_10000,revisit_ratio_10000,dirty_ratio_10000,smoothed_seq_10000,smoothed_revisit_10000,smoothed_dirty_10000,old_state,new_state,cooldown_windows,hot_streak,weak_pollution_streak,stream_candidate,hot_backoff,weak_backoff
3618281671334,18446612686879607928,1009,1010,7542,0,64,8437,0,0,2109,0,0,0,0,0,0,0,1,0,0
3618288862719,18446612686879607928,1957,1958,7542,1,64,8281,312,0,3652,78,0,0,0,0,0,0,1,0,0
3618294187436,18446612686879607928,2873,2874,7542,2,64,7968,468,0,4731,175,0,0,0,0,0,0,1,0,0
3618298967827,18446612686879607928,3771,3772,7542,3,64,8125,312,0,5579,209,0,0,0,0,0,0,1,0,0
3618305447293,18446612686879607928,4973,4974,7542,4,64,8281,156,0,6254,195,0,0,0,0,0,0,1,0,0
3618314078445,18446612686879607928,6004,6080,7542,5,64,8437,156,0,6799,185,0,0,0,0,0,0,1,0,0
3618320220138,18446612686879607928,7064,7065,7542,6,64,7968,156,0,7091,177,0,0,0,0,0,0,1,0,0
3618326857593,18446612686879607928,7874,8000,7542,7,64,8125,0,0,7349,132,0,0,0,0,0,0,1,0,0
3618332463723,18446612686879607928,8824,8896,7542,8,64,7968,0,0,7503,99,0,0,0,0,0,0,1,0,0
3618338853483,18446612686879607928,9878,9984,7542,9,64,7656,156,0,7541,113,0,0,0,0,0,0,1,0,0
3618345635742,18446612686879607928,10951,11072,7542,10,64,8281,156,0,7726,123,0,0,0,0,0,0,1,0,0
3618351425146,18446612686879607928,11984,11985,7542,11,64,8125,156,0,7825,131,0,0,0,0,0,0,1,0,0
3618357616721,18446612686879607928,12983,13056,7542,12,64,7812,312,0,7821,176,0,0,0,0,0,0,1,0,0
3618363535336,18446612686879607928,14205,14206,7542,13,64,8125,0,0,7897,132,0,0,0,0,0,0,1,0,0
3618369201570,18446612686879607928,15257,15258,7542,14,64,7812,312,0,7875,177,0,0,0,0,0,0,1,0,0
3618373325794,18446612686879607928,16047,16048,7542,15,64,8593,312,0,8054,210,0,0,0,0,0,0,1,0,0
3618378449111,18446612686879607928,16996,16997,7542,16,64,7968,156,0,8032,196,0,0,0,0,0,0,1,0,0
3618384283629,18446612686879607928,17813,17920,7542,17,64,8437,156,0,8133,186,0,0,0,0,0,0,1,0,0
